code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket
000820,金城股份,造纸,辽宁,0,22087.72,28783.48,71890.85,26599.05,28207.45,45255.55,1.57,-0.003,0.79,21.37,19980630
000821,京山轻机,轻工机械,湖北,87.14,34521.94,47773.26,201296.34,111430.05,54236.58,46852.76,0.98,0.05,3.2,5.46,19980626
000822,山东海化,化工原料,山东,20.91,89508.31,89509.2,366585.13,147796.38,172083.02,150483.92,1.68,0.074,2.47,2.5,19980703
000823,超声电子,元器件,广东,49.61,53687.28,53696.6,476242.44,277099.47,163968.44,142463.91,2.65,0.051,5.31,1.91,19971008
000825,太钢不锈,特种钢,山西,420.86,569598.31,569624.75,7791271,2083822.25,4223609,680105.38,1.19,0.003,4.39,1.2,19981021
000826,桑德环境,环境保护,湖北,39.95,83933.35,84361.65,1109512.13,536649.44,66094.13,199830.97,2.37,0.192,6.37,4.81,19980225
000828,东莞控股,路桥,广东,12.57,103951.7,103951.7,611646.63,82681.47,219899.05,114666.32,1.1,0.166,4.04,2.07,19970617
000829,天音控股,其他商业,江西,137.62,94679.18,94690.1,1114672.63,1009066.81,35952.23,23964.07,0.25,0.02,2.35,4.64,19971202
000830,鲁西化工,农药化肥,山东,26.78,146398.02,146486.06,2014623.75,344448.81,1404135.75,218398.55,1.49,0.07,4.15,1.82,19980807
000831,五矿稀土,小金属,山西,1129.98,74521.88,98088.89,263666.59,213097.91,16890.61,75535.68,0.77,0.003,2.54,5.36,19980911
000833,贵糖股份,造纸,广西,279.52,29606.53,29606.78,126373.77,68047.75,45145.55,22347.14,0.75,0.011,2.88,4.35,19981111
000835,长城动漫,影视音像,四川,0,30537,30537,110558.92,39793.59,5615,1149.02,0.04,-0.012,1.36,9.17,19990625
